season,unique.fires,total.burned,size,area,prop
2012-2013,67722,8479505.76,large,1456026.88,0.171711291
2013-2014,29440,3678032.16,large,815714.24,0.221780073
2014-2015,36806,3217806.24,large,255745.6,0.079478247
2015-2016,27947,2398858.88,large,175692,0.073239823
2016-2017,36389,3080601.92,large,261282.56,0.084815425
2017-2018,70755,4815199.84,large,294465.6,0.06115335
2018-2019,35865,3972091.2,large,790565.6,0.199030073
2019-2020,29148,8025494.4,large,5018634.72,0.625336518
2012-2013,67722,8479505.76,moderate,5119209.92,0.603715601
2013-2014,29440,3678032.16,moderate,2037930.4,0.554081724
2014-2015,36806,3217806.24,moderate,1907153.6,0.59268752
2015-2016,27947,2398858.88,moderate,1423269.76,0.593311166
2016-2017,36389,3080601.92,moderate,1780171.36,0.577864783
2017-2018,70755,4815199.84,moderate,2456087.04,0.510069597
2018-2019,35865,3972091.2,moderate,2165725.75,0.545235656
2019-2020,29148,8025494.4,moderate,2207814.4,0.275100111
2012-2013,67722,8479505.76,small,1904268.96,0.224573108
2013-2014,29440,3678032.16,small,824387.52,0.224138203
2014-2015,36806,3217806.24,small,1054907.04,0.327834233
2015-2016,27947,2398858.88,small,799897.12,0.333449011
2016-2017,36389,3080601.92,small,1039148,0.337319792
2017-2018,70755,4815199.84,small,2064647.2,0.428777054
2018-2019,35865,3972091.2,small,1015799.85,0.255734272
2019-2020,29148,8025494.4,small,799045.28,0.099563371